gregorain_date,gregorian_year,gregorian_month,gregorian_day,is_holiday,event_origin,event_name
1991-10-12 00:00:00,,,,0,۲۰ مهر,روز بزرگداشت حافظ
1991-10-13 00:00:00,,,,0,۲۱ مهر,جشن پیروزی کاوه و فریدون
1991-10-14 00:00:00,,,,0,۱۴ اکتبر,روز جهانی استاندارد
1991-10-15 00:00:00,,,,0,۱۵ اکتبر,روز جهانی عصای سفید
1991-10-17 00:00:00,,,,0,۸ ربيع الثاني,ولادت امام حسن عسکری علیه السلام
1991-10-17 00:00:00,,,,0,۱۷ اکتبر,روز جهانی ریشه کنی فقر
1991-10-18 00:00:00,,,,0,۲۶ مهر,روز تربیت بدنی و ورزش
1991-10-18 00:00:00,,,,0,۱۸ اکتبر,درگذشت توماس ادیسون
1991-10-23 00:00:00,,,,0,۱ آبان,روز آمار و برنامه ریزی
1991-10-19 00:00:00,,,,0,۱۰ ربيع الثاني,وفات حضرت معصومه سلام الله علیها
1991-10-21 00:00:00,,,,0,۲۱ اکتبر,اختراع لامپ برق توسط توماس ادیسون
1991-10-29 00:00:00,,,,0,۷ آبان,روز کوروش بزرگ
1991-10-30 00:00:00,,,,0,۸ آبان,روز نوجوان
1991-11-01 00:00:00,,,,0,۱۰ آبان,آبان روز، جشن آبانگان
1991-11-04 00:00:00,,,,0,۱۳ آبان,روز دانش آموز
1991-11-04 00:00:00,,,,0,۴ نوامبر,تولد فردریک بانتینگ کاشف انسولین
1991-11-05 00:00:00,,,,0,۱۴ آبان,روز فرهنگ عمومی
1991-11-06 00:00:00,,,,0,۱۵ آبان,جشن میانه پاییز
1991-11-09 00:00:00,,,,0,۱۸ آبان,روز ملی کیفیت
1991-11-07 00:00:00,,,,0,۷ نوامبر,تولد ماری کوری کاشف پولونیم و رادیوم
1991-11-12 00:00:00,,,,0,۲۱ آبان,زادروز نیما یوشیج پدر شعر نو پارسی
1991-11-13 00:00:00,,,,0,۵ جمادي الاولي,ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز
1991-11-15 00:00:00,,,,0,۲۴ آبان,روز کتاب و کتابخوانی
1991-11-17 00:00:00,,,,0,۱۷ نوامبر,روز جهانی فلسفه
1991-11-22 00:00:00,,,,0,۱ آذر,آذر جشن
1991-11-25 00:00:00,,,,0,۲۵ نوامبر,ارائه نظریه نسبیت عام توسط آلبرت انیشتین
1991-11-25 00:00:00,,,,0,۲۵ نوامبر,روز جهانی مبارزه با خشونت علیه زنان
1991-11-26 00:00:00,,,,0,۵ آذر,روز بسیج مستضعفان
1991-11-28 00:00:00,,,,0,۷ آذر,روز نیروی دریایی
1991-11-30 00:00:00,,,,0,۹ آذر,آذر روز، جشن آذرگان
1991-12-01 00:00:00,,,,0,۱۰ آذر,روز مجلس
1991-12-01 00:00:00,,,,0,۱ دسامبر,روز جهانی ایدز
1991-12-03 00:00:00,,,,0,۱۲ آذر,تصویب قانون اساسی جمهوری اسلامی ایران
1991-12-03 00:00:00,,,,0,۳ دسامبر,روز جهانی معلولان
1991-12-06 00:00:00,,,,0,۱۵ آذر,روز حسابدار
1991-12-04 00:00:00,,,,0,۱۳ آذر,روز بیمه
1991-12-07 00:00:00,,,,0,۱۶ آذر,روز دانشجو
1991-12-10 00:00:00,,,,1,۳ جمادي الثانيه,شهادت حضرت فاطمه زهرا سلام الله علیها
1991-12-16 00:00:00,,,,0,۲۵ آذر,روز پژوهش
1991-12-17 00:00:00,,,,0,۲۶ آذر,روز حمل و نقل
1991-12-20 00:00:00,,,,0,۲۰ دسامبر,زادروز دیوید بوهم فیزیک دان مشهور آمریکایی
1991-12-21 00:00:00,,,,0,۳۰ آذر,جشن شب یلدا
1991-12-22 00:00:00,,,,0,۱ دی,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان
1991-12-25 00:00:00,,,,0,۲۵ دسامبر,جشن کریسمس
1991-12-26 00:00:00,,,,0,۵ دی,سالروز زمین لرزه ی بم در سال 1382
1991-12-26 00:00:00,,,,0,۵ دی,سالروز شهادت آشو زرتشت، اَبَراِنسان بزرگ تاریخ
1991-12-27 00:00:00,,,,0,۲۰ جمادي الثانيه,ولادت حضرت فاطمه زهرا سلام الله علیها و روز زن
1991-12-29 00:00:00,,,,0,۸ دی,دی به آذر روز، دومین جشن دیگان
1992-01-01 00:00:00,,,,0,۱ ژانویه,جشن آغاز سال نو میلادی
1992-01-03 00:00:00,,,,0,۱۳ دی,درگذشت نیما یوشیج پدر شعر نو پارسی
1992-01-05 00:00:00,,,,0,۱۵ دی,دی به مهر روز، سومین جشن دیگان
1992-01-07 00:00:00,,,,0,۱ رجب,ولادت  امام محمد باقر علیه السلام
1992-01-09 00:00:00,,,,0,۳ رجب,شهادت امام علی النقی الهادی علیه السلام
